type,expiry,strike,oi,change
C,2609,30000,3750,0
C,2609,37000,1,0
C,2609,40000,5,0
C,2609,42000,101,0
C,2609,42500,10,0
C,2609,43000,100,0
C,2609,43500,57,0
C,2609,45000,42,0
C,2609,48000,400,0
C,2609,48500,240,0
C,2609,49000,200,0
C,2609,50000,4650,0
C,2609,50500,50,0
C,2609,51000,141,0
C,2609,51250,210,0
C,2609,52000,350,0
C,2609,53000,1100,0
C,2609,53500,400,0
C,2609,53750,150,0
C,2609,54000,1056,0
C,2609,54250,50,0
C,2609,54500,200,0
C,2609,54750,90,0
C,2609,55000,660,0
C,2609,56000,1250,0
C,2609,56500,75,0
C,2609,57000,850,0
C,2609,57500,384,0
C,2609,58000,1101,0
C,2609,59000,1096,0
C,2609,60000,786,0
C,2609,60500,750,0
C,2609,60750,120,0
C,2609,61000,221,0
C,2609,61250,22,0
C,2609,61500,2,0
C,2609,61875,2,0
C,2609,62000,2002,0
C,2609,62250,1,0
C,2609,62500,801,0
C,2609,63000,967,0
C,2609,63250,1,0
C,2609,63500,4,0
C,2609,64000,1685,0
C,2609,64250,100,0
C,2609,64500,103,0
C,2609,64750,1,0
C,2609,64875,1,0
C,2609,65000,5381,0
C,2609,65125,0,0
C,2609,65250,3,0
C,2609,65375,1,0
C,2609,65500,173,-4
C,2609,65750,3,0
C,2609,65875,1,0
C,2609,66000,1784,-176
C,2609,66125,42,0
C,2609,66250,38,1
C,2609,66375,1,0
C,2609,66500,1410,416
C,2609,66625,3,0
C,2609,66750,1211,0
C,2609,67000,2909,-502
C,2609,67125,6,0
C,2609,67250,5,0
C,2609,67375,29,0
C,2609,67500,2114,-16
C,2609,67625,31,0
C,2609,67750,480,0
C,2609,67875,36,0
C,2609,68000,2488,313
C,2609,68125,85,0
C,2609,68250,20,0
C,2609,68375,5,0
C,2609,68500,156,-1
C,2609,68625,26,0
C,2609,68750,309,-1
C,2609,68875,83,6
C,2609,69000,1717,32
C,2609,69125,104,0
C,2609,69250,102,1
C,2609,69375,20,0
C,2609,69500,726,6
C,2609,69625,73,3
C,2609,69750,1452,0
C,2609,69875,44,0
C,2609,70000,3543,-166
C,2609,70125,1,0
C,2609,70250,634,0
C,2609,70375,2,2
C,2609,70500,322,-1
C,2609,70625,55,-1
C,2609,70750,35,1
C,2609,70875,61,0
C,2609,71000,1666,25
C,2609,71125,57,0
C,2609,71250,41,0
C,2609,71375,11,0
C,2609,71500,540,4
C,2609,71625,2,0
C,2609,71750,18,3
C,2609,71875,1,0
C,2609,72000,2381,-273
C,2609,72125,78,0
C,2609,72250,38,1
C,2609,72375,10,0
C,2609,72500,1788,-1
C,2609,72625,4,0
C,2609,72750,202,0
C,2609,72875,34,0
C,2609,73000,1727,12
C,2609,73125,5,0
C,2609,73250,19,1
C,2609,73375,2,0
C,2609,73500,492,34
C,2609,73625,4,0
C,2609,73750,53,0
C,2609,73875,18,0
C,2609,74000,1352,130
C,2609,74125,3,0
C,2609,74250,4,0
C,2609,74375,1,0
C,2609,74500,155,-1
C,2609,74625,48,0
C,2609,74750,70,0
C,2609,75000,3130,39
C,2609,75125,1,0
C,2609,75250,38,-2
C,2609,75375,1,0
C,2609,75500,205,22
C,2609,76000,595,13
C,2609,76500,64,4
C,2609,77000,774,-43
C,2609,77500,976,1
C,2609,78000,2455,-114
C,2609,78500,69,10
C,2609,79000,255,63
C,2609,79500,209,1
C,2609,80000,1839,-7
C,2609,80500,29,0
C,2609,81000,384,1
C,2609,81500,59,0
C,2609,82000,380,0
C,2609,82500,96,9
C,2609,83000,504,0
C,2609,83500,49,0
C,2609,84000,1219,5
C,2609,84500,52,0
C,2609,85000,1186,3
C,2609,87500,345,0
C,2609,90000,666,0
C,2609,92000,56,0
C,2609,94000,17,0
C,2609,95000,43,0
C,2609,96000,20,0
C,2609,98000,15,0
C,2609,100000,89,0
C,2610,35000,24,0
C,2610,45000,2,0
C,2610,47500,34,0
C,2610,53000,34,0
C,2610,55000,4,0
C,2610,57000,1,0
C,2610,60000,1,0
C,2610,60500,100,0
C,2610,61000,201,0
C,2610,62000,49,0
C,2610,63000,4,0
C,2610,63500,0,0
C,2610,63875,50,0
C,2610,64000,31,0
C,2610,64750,0,0
C,2610,65000,145,0
C,2610,65250,1,0
C,2610,65500,181,0
C,2610,65750,51,0
C,2610,65875,1,0
C,2610,66000,304,0
C,2610,66125,0,0
C,2610,66250,4,0
C,2610,66375,1,0
C,2610,66500,1,0
C,2610,66750,0,0
C,2610,66875,12,0
C,2610,67000,505,1
C,2610,67500,131,19
C,2610,67750,1,0
C,2610,68000,596,2
C,2610,68125,18,0
C,2610,68250,2,0
C,2610,68375,3,0
C,2610,68500,202,0
C,2610,68750,0,0
C,2610,69000,1162,-1
C,2610,69250,0,0
C,2610,69500,6,0
C,2610,69750,1,0
C,2610,69875,88,88
C,2610,70000,830,1
C,2610,70500,100,0
C,2610,70750,1,0
C,2610,71000,120,0
C,2610,71250,0,0
C,2610,71500,244,0
C,2610,71750,0,0
C,2610,72000,680,101
C,2610,72250,46,10
C,2610,72500,81,77
C,2610,72750,7,0
C,2610,73000,1233,0
C,2610,73250,1,0
C,2610,73500,6,0
C,2610,73750,1,0
C,2610,74000,473,46
C,2610,74250,8,0
